PC1,PC2,Cluster
-0.251250874431728,-1.6957587964074619,1
1.4969628213910955,1.1305352145594245,3
0.04507497510131442,-0.16314354773435458,0
1.163052679601576,-0.25594943608489434,3
4.600658280712829,-1.9441144082811868,2
0.22219050999081127,-1.739323762288461,1
0.7868150921758855,-0.17702447993689796,0
-0.18598656485303863,-0.2067199068430517,0
1.6557943407186375,1.159197087520235,2
2.1743009134110456,-0.3488334307107876,2
3.301250850507285,-0.3517765799406287,2
-1.180513491065482,1.2779965356158078,0
-1.273379756332814,-1.7095911360633136,1
-1.4013983465856754,-1.7205665139153619,1
-0.5398364951524987,-1.7526627188636572,3
-0.7568218473091572,1.2571435918802336,0
-0.07734176090155163,1.18238715604023,0
4.061427430050111,1.059293097850659,2
-0.109296308640261,1.202978250919365,0
-1.0363487722801412,1.1770451361208825,0
-1.042025336070959,1.2469685142116527,0
-1.8145029675379412,1.2328606134676678,0
-0.5610133505209741,1.219460503846749,0
-1.2778353483008076,-1.7315311580367283,1
-1.7497349219115135,1.220307046901366,0
-0.5236060637828127,1.1928868791708818,0
2.339108965799207,1.1176690824732434,2
0.9888594115613112,-0.2391265356070596,0
-0.8268981302524712,-0.17284832652000393,0
-0.09897874270874359,-1.7633513972092674,1
-0.796626687715512,-0.1753805572693673,0
-0.3490371256455001,1.205561709511337,0
0.8093398117173992,-0.24129083260913037,0
-1.7105178078713839,1.240578687351114,0
0.40975998686711196,-0.21147412397754883,0
-0.12240873198751091,1.1960023690004844,0
1.0424320673477816,-0.31024069258714054,2
0.8428263105121191,1.1852929454319978,0
-0.09726428192675272,1.1724819141390825,0
3.735851969628948,1.059850282347074,2
1.0932403524737855,-0.29332835195096035,2
-0.06627232047701316,-1.7904442368798308,1
-0.5458380551539571,-0.2511152087805514,0
-0.3612890398446645,-1.7529081846780337,1
3.5074246396890687,1.13670777427336,2
-0.865875692002369,-1.7274930945795095,1
0.7116168449016484,-0.2767453405117331,3
-0.8867090871710392,-1.7460466036491176,1
0.3234245536298586,-0.24251262225634562,0
0.1820750435935481,-0.23504257133307332,0
-0.9384075289111892,1.194457057837397,0
-0.33715034206455013,1.1662572913722655,3
-0.2481112818224628,1.236182501316938,0
1.6603381548095615,1.0808966571064151,3
-0.2670493115384696,1.2331166463629983,0
2.0795149920447593,-0.3093415273379818,2
1.7124548172687557,-0.27552301960718456,2
